sample_id,cluster_label
0,2
1,1
2,1
3,3
4,0
5,0
6,3
7,3
8,3
9,2
10,0
11,0
12,2
13,0
14,2
15,4
16,3
17,4
18,0
19,1
20,0
21,4
22,3
23,1
24,3
25,1
26,3
27,2
28,4
29,4
30,4
31,2
32,0
33,2
34,2
35,4
36,1
37,2
38,1
39,3
40,0
41,1
42,2
43,0
44,0
45,4
46,4
47,4
48,1
49,3
50,2
51,3
52,1
53,1
54,3
55,4
56,0
57,4
58,3
59,2
60,2
61,3
62,4
63,4
64,3
65,0
66,4
67,1
68,2
69,4
70,3
71,2
72,1
73,2
74,0
75,4
76,0
77,1
78,3
79,2
80,4
81,3
82,3
83,0
84,4
85,3
86,2
87,4
88,4
89,1
90,0
91,3
92,2
93,4
94,2
95,0
96,4
97,4
98,1
99,2
100,4
101,1
102,1
103,3
104,2
105,0
106,3
107,3
108,4
109,0
110,3
111,4
112,1
113,4
114,2
115,0
116,0
117,0
118,1
119,0
120,4
121,0
122,3
123,2
124,1
125,1
126,3
127,0
128,1
129,0
130,1
131,3
132,3
133,4
134,2
135,3
136,0
137,1
138,0
139,4
140,2
141,4
142,3
143,3
144,1
145,3
146,1
147,2
148,3
149,2
150,3
151,0
152,4
153,2
154,4
155,3
156,0
157,0
158,0
159,3
160,0
161,2
162,0
163,1
164,1
165,3
166,2
167,0
168,0
169,1
170,4
171,4
172,0
173,3
174,4
175,0
176,2
177,2
178,0
179,2
180,1
181,4
182,0
183,3
184,4
185,0
186,4
187,4
188,3
189,3
190,2
191,2
192,2
193,4
194,4
195,1
196,0
197,0
198,1
199,4
200,2
201,1
202,0
203,0
204,2
205,1
206,1
207,0
208,0
209,1
210,1
211,3
212,2
213,4
214,2
215,0
216,2
217,1
218,3
219,3
220,2
221,0
222,3
223,0
224,2
225,3
226,1
227,0
228,2
229,2
230,3
231,4
232,0
233,4
234,4
235,0
236,0
237,3
238,3
239,0
240,3
241,0
242,1
243,3
244,2
245,0
246,0
247,2
248,0
249,1
250,2
251,2
252,2
253,4
254,4
255,4
256,0
257,2
258,2
259,4
260,2
261,1
262,3
263,4
264,0
265,2
266,0
267,4
268,3
269,4
270,2
271,2
272,4
273,1
274,3
275,1
276,2
277,0
278,1
279,4
280,0
281,4
282,4
283,4
284,3
285,3
286,0
287,0
288,2
289,2
290,2
291,0
292,3
293,2
294,4
295,0
296,1
297,0
298,4
299,4
300,4
301,0
302,0
303,3
304,4
305,1
306,3
307,3
308,4
309,3
310,0
311,4
312,3
313,4
314,4
315,2
316,1
317,1
318,4
319,1
320,2
321,4
322,0
323,4
324,1
325,0
326,3
327,1
328,1
329,4
330,4
331,4
332,4
333,4
334,1
335,3
336,0
337,0
338,3
339,3
340,2
341,2
342,2
343,1
344,0
345,1
346,2
347,2
348,1
349,2
350,0
351,4
352,3
353,4
354,3
355,1
356,3
357,3
358,2
359,0
360,2
361,0
362,3
363,3
364,4
365,4
366,1
367,2
368,1
369,3
370,1
371,2
372,2
373,1
374,0
375,1
376,3
377,3
378,0
379,1
380,2
381,3
382,3
383,1
384,0
385,4
386,0
387,3
388,3
389,1
390,3
391,2
392,1
393,2
394,4
395,3
396,4
397,0
398,1
399,4
400,0
401,3
402,1
403,0
404,1
405,0
406,2
407,4
408,1
409,0
410,0
411,0
412,2
413,1
414,0
415,4
416,1
417,2
418,0
419,1
420,4
421,1
422,1
423,4
424,0
425,2
426,4
427,3
428,2
429,0
430,4
431,2
432,3
433,1
434,1
435,1
436,3
437,0
438,4
439,2
440,2
441,3
442,1
443,3
444,1
445,0
446,0
447,0
448,2
449,0
450,4
451,2
452,0
453,1
454,2
455,2
456,1
457,1
458,4
459,3
460,0
461,2
462,1
463,2
464,4
465,3
466,0
467,3
468,1
469,1
470,4
471,1
472,4
473,3
474,2
475,2
476,1
477,0
478,1
479,3
480,3
481,0
482,1
483,1
484,0
485,2
486,0
487,3
488,4
489,4
490,4
491,1
492,2
493,0
494,4
495,1
496,0
497,0
498,3
499,1
500,3
501,2
502,0
503,0
504,4
505,0
506,3
507,4
508,1
509,0
510,0
511,3
512,3
513,2
514,1
515,2
516,2
517,2
518,3
519,3
520,0
521,0
522,4
523,2
524,2
525,1
526,4
527,4
528,0
529,0
530,1
531,3
532,1
533,1
534,3
535,4
536,3
537,3
538,3
539,1
540,4
541,1
542,1
543,1
544,4
545,2
546,4
547,4
548,1
549,3
550,2
551,0
552,1
553,4
554,0
555,4
556,2
557,0
558,2
559,0
560,2
561,3
562,1
563,4
564,3
565,1
566,4
567,3
568,2
569,4
570,0
571,0
572,0
573,2
574,2
575,0
576,1
577,0
578,1
579,0
580,1
581,4
582,4
583,4
584,3
585,4
586,3
587,1
588,2
589,2
590,4
591,3
592,3
593,3
594,3
595,1
596,2
597,4
598,1
599,2
600,3
601,0
602,3
603,4
604,1
605,4
606,3
607,2
608,2
609,2
610,3
611,1
612,3
613,4
614,3
615,2
616,3
617,0
618,0
619,4
620,2
621,2
622,4
623,1
624,0
625,4
626,1
627,1
628,2
629,3
630,3
631,2
632,4
633,0
634,3
635,1
636,4
637,3
638,1
639,3
640,0
641,0
642,4
643,3
644,0
645,1
646,1
647,4
648,0
649,0
650,0
651,3
652,0
653,4
654,3
655,4
656,3
657,0
658,2
659,1
660,2
661,2
662,1
663,0
664,3
665,0
666,1
667,0
668,3
669,0
670,3
671,2
672,3
673,4
674,2
675,2
676,3
677,1
678,2
679,0
680,4
681,1
682,4
683,4
684,0
685,0
686,0
687,0
688,0
689,3
690,2
691,3
692,3
693,2
694,4
695,0
696,2
697,4
698,2
699,1
700,4
701,0
702,0
703,1
704,0
705,2
706,1
707,1
708,3
709,1
710,3
711,0
712,4
713,3
714,0
715,4
716,4
717,2
718,3
719,4
720,3
721,2
722,3
723,0
724,4
725,4
726,0
727,1
728,3
729,3
